name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors,domestic_revenue,international_revenue,worldwide_revenue,budget
Thunder Road,97,91,94,"['Comedy', 'Drama']",,1h 32m,2018,"['Jim Cummings', 'Kendal Farr', 'Nican Robinson', 'Jocelyn DeBoer', 'Chelsea Edmundson']",['Jim Cummings 3'],519305,0,519305,0
Strange Nature,43,74,53,['Mystery & Thriller'],,1h 40m,2018,"['Stephen Tobolowsky', 'John Morrison', 'Lisa Sheridan', 'Carlos Alazraqui', 'Tiffany Shepis']",['James Ojala 2'],8840453,23602658,32443111,6000000
Holmes & Watson,10,25,14,"['Comedy', 'Mystery & Thriller']",PG-13,1h 30m,2018,"['Will Ferrell', 'John C. Reilly', 'Rebecca Hall', 'Rob Brydon', 'Steve Coogan']",['Etan Cohen'],53537919,51398177,104936096,0
Pickings,80,55,71,"['Mystery & Thriller', 'Crime', 'Drama']",R,1h 43m,2018,"['Lynne Jordan', 'Michelle Holland', 'Taso Mikroulis', 'Reese Grande', 'Elyse Price']",['Usher Morgan'],24008137,48170758,72178895,110000000
Cut off,100,66,88,"['Action', 'Crime', 'Drama', 'Horror']",,2h 12m,2018,"['Moritz Bleibtreu', 'Jasna Fritzi Bauer', 'Lars Eidinger', 'Fahri Ögün Yardim', 'Enno Hesse']",['Christianalvart'],132555,0,132555,0
City of Lies,51,84,62,"['Crime', 'Drama', 'Mystery & Thriller']",R,1h 54m,2018,"['Johnny Depp', 'Forest Whitaker', 'Rockmond Dunbar', 'Neil Brown Jr.', 'Xander Berkeley']",['Brad Furman'],42194060,63453042,105647102,70000000
Jesus Christ Superstar Live in Concert,100,58,85,[],,2018,2018,"['John Legend', 'Sara Bareilles', 'Alice Cooper', 'Brandon Victor Dixon', 'David Leveaux']",['David Leveaux'],132555,0,132555,0
Ask for Jane,50,88,62,"['History', 'Drama']",,1h 48m,2018,"['Chloë Levine', 'Cody Horn', 'Sarah Steele', 'Alison Wright', 'Sarah Ramos']",['Rachel Carey'],35014192,6083661,41097853,8000000
Acrimony,18,61,32,"['Mystery & Thriller', 'Drama']",R,2h 0m,2018,"['Taraji P. Henson', 'Lyriq Bent', 'Ajiona Alexus', 'Antonio Madison', 'Crystle Stewart']",['Tyler Perry'],0,0,0,0
Maiden,98,97,97,['Documentary'],PG,1h 33m,2018,"['Tracy Edwards', 'Nancy Harris', 'John Chittenden', 'Bruno De Bois', 'Howard Gibbons']",['Alex Holmes 2'],100345,1843942,1944287,0
Bel Canto,47,44,46,"['Mystery & Thriller', 'Drama']",,1h 42m,2018,"['Julianne Moore', 'Ken Watanabe', 'Tenoch Huerta', 'Sebastian Koch', 'Christopher Lambert']",['Paul Weitz'],38362475,113421364,151783839,175000000
To All the Boys I've Loved Before,96,85,92,"['Romance', 'Drama']",TV14,1h 39m,2018,"['Lana Condor', 'John Corbett', 'Noah Centineo', 'Emilija Baranac', 'Israel Broussard']",['1157943 Susan Johnson'],616333,0,616333,0
The Truth About Killer Robots,67,33,55,['Documentary'],,1h 23m,2018,"['Leon Gonzalez', 'Hiroshi Ishiguro', 'Maxim Pozdorovkin', 'Maxim Pozdorovkin', 'Joe Bender']",['Maxim Pozdorovkin'],5743,0,5743,0
Dunkirk,92,81,88,"['War', 'History', 'Drama']",PG-13,1h 47m,2017,"['Fionn Whitehead', 'Tom Glynn-Carney', 'Jack Lowden', 'Harry Styles', 'Aneurin Barnard']",['Christopher Nolan'],50410,0,50410,0
Generational Sins,33,97,54,['Drama'],PG-13,1h 30m,2017,"['Daniel MacPherson', 'Dax Spanogle', 'Barrett Donner', 'Bill Farmer', 'Leesa Folmar']",['Spencer T Folmar'],12227722,15744301,27972023,0
Ruin Me,79,37,65,"['Horror', 'Mystery & Thriller']",,1h 27m,2017,"['Marcienne Dwyer', 'Matt Dellapina', 'Chris Hill', 'Eva Hamilton', 'John Odom']",['Preston Defrancis'],5696391,0,5696391,0
Bon Cop Bad Cop 2,75,73,74,"['Action', 'Comedy', 'Crime', 'Drama', 'Adventure']",,1h 30m,2017,"['Colm Feore', 'Erik Knudsen', 'Sarah-Jeanne Labrosse', 'Noam Jenkins', 'Lucie Laurier']",['Alain Desrochers'],1236408,0,1236408,0
How to Be a Latin Lover,39,61,46,['Comedy'],PG-13,1h 55m,2017,"['Eugenio Derbez', 'Salma Hayek', 'Rob Lowe', 'Kristen Bell', 'Raquel Welch']",['Ken Marino'],13261851,14928752,28190603,26000000
The Monster Project,50,47,48,"['Horror', 'Mystery & Thriller']",,1h 35m,2017,"['Toby Hemingway', 'Justin Bruening', 'Yvonne Zima', 'Jamal Quezaire', 'Murielle Zuker']",['Victor Mathieu'],35014192,6083661,41097853,8000000
Dance Academy: The Movie,100,81,93,"['Kids & Family', 'Drama']",,1h 41m,2017,"['Xenia Goodwin', 'Alicia Banit', 'Jordan Rodrigues', 'Thom Green', 'Dena Kaplan']",['Jeffrey Walker'],132555,0,132555,0
Never Here,80,39,66,['Mystery & Thriller'],R,1h 50m,2017,"['Mireille Enos', 'Sam Shepard', 'Goran Visnjic', 'Vincent Piazza', 'Nina Arianda']",['Camille Thoman'],0,0,0,0
After Louie,77,62,72,"['Drama', 'Romance', 'LGBTQ+']",,1h 40m,2017,"['Alan Cumming', 'Zachary Booth', 'Sarita Choudhury', 'Patrick Breen', 'Justin Vivian Bond']",['Vincent Gagliostro'],157066392,281900000,438966392,0
The Dawn Wall,100,95,98,['Documentary'],,1h 40m,2017,"['Tommy Caldwell', 'Kevin Jorgeson', 'Josh Lowell', 'Peter Mortimer', 'Josh Lowell']","['Josh Lowell', 'Peter Mortimer']",132555,0,132555,0
The Final Year,83,49,71,['Documentary'],,1h 29m,2017,"['Ben Rhodes', 'Samantha Power', 'John Kerry', 'Susan Rice', 'Barack Obama']",['Greg Barker'],4055660,3295401,7351061,0
55 Steps,50,83,60,"['Biography', 'Drama']",PG-13,1h 55m,2017,"['Helena Bonham Carter', 'Hilary Swank', 'Jeffrey Tambor', 'Richard Riddell', 'Johan Heldenbergh']",['Bille August'],35014192,6083661,41097853,8000000
An Imperfect Murder,40,7,28,['Drama'],R,1h 11m,2017,"['Sienna Miller', 'Alec Baldwin', 'Charles Grodin', 'Colleen Camp', 'Oliver ""Power"" Grant']",['James Toback'],67544505,20670651,88215156,35000000
Who Is Arthur Chu?,78,80,78,['Documentary'],,1h 30m,2017,"['Alex Trebek', 'Arthur Chu', 'Scott J. Drucker', 'Yu Gu', 'Scott J. Drucker']","['Scott J Drucker', 'Yu Gu 2']",37664,9174,46838,0
"Nobody Speak: Hulk Hogan, Gawker and Trials of a Free Press",91,42,74,['Documentary'],,1h 36m,2017,"['Hulk Hogan', 'David Folkenflik', 'Nick Denton', 'David Carr', 'Brian Knappenberger']",['Brian Knappenberger'],6735922,0,6735922,0
All the Money in the World,79,65,74,"['Crime', 'Drama', 'Mystery & Thriller']",R,2h 12m,2017,"['Michelle Williams', 'Christopher Plummer', 'Mark Wahlberg', 'Romain Duris', 'Timothy Hutton']",['Ridley Scott'],5696391,0,5696391,0
The Work,100,86,95,['Documentary'],,1h 27m,2017,"['Jairus McLeary', 'Gethin Aldous', 'Gethin Aldous', 'Rob Allbee', 'James McLeary']","['Jairus Mcleary', 'Gethin Aldous']",132555,0,132555,0
Extraordinary Mission,80,90,83,"['Action', 'Mystery & Thriller']",,2h 0m,2017,"['Xuan Huang', 'Yihong Duan', 'Yueting Lang', 'Feng Zu', 'Alan Mak']","['Alan Mak', 'Anthony Pun']",0,0,0,0
Permanent,44,70,52,['Comedy'],PG-13,1h 33m,2017,"['Patricia Arquette', 'Rainn Wilson', 'Kira McLean', 'Jane McNeill', 'Aidan Fiske']",['Colette Burson'],39768000,0,39768000,0
The Rape of Recy Taylor,95,64,84,['Drama'],,1h 31m,2017,"['Tommy Bernardi', 'Cynthia Erivo', 'Tom Gibbs', 'Jack Kyser', 'John L. Payne']",['Nancy Buirski'],7362439,1940583,9303022,0
Liyana,98,71,89,['Documentary'],,1h 17m,2017,"['Gcina Mhlophe', 'Aaron Kopp', 'Amanda Kopp', 'Albie Hecht', 'Susan MacLaury']","['Aaron Kopp', 'Amanda Kopp']",100345,1843942,1944287,0
Sollers Point,85,59,76,['Drama'],R,1h 41m,2017,"['McCaul Lombardi', 'Jim Belushi', 'Tom Guiry', 'Zazie Beetz', 'Everleigh Brenner']",['Matthew Porterfield'],9369329,0,9369329,0
The Lullaby,67,72,68,['Horror'],,2h 5m,2017,"['Brandon Auret', 'Reine Swart', 'Deànré Reiners', 'Thandi Puren', 'Dorothy Ann Gould']",['Darrell Roodt'],5743,0,5743,0
Cut Shoot Kill,71,53,65,"['Action', 'Horror', 'Mystery & Thriller']",,1h 37m,2017,"['Alexandra Socha', 'Alex Hurt', 'Phil Burke', 'Henry Zebrowski', 'Rebecca Faulkenberry']",['Michael Walker 7'],1270847,1791331,3062178,0
The Cakemaker,97,80,91,"['Drama', 'LGBTQ+']",,1h 45m,2017,"['Sarah Adler', 'Zohar Shtrauss', 'Tim Kalkhof', 'Sandra Sade', 'Roy Miller']",['Ofir Raul Graizer'],519305,0,519305,0
Smurfs: The Lost Village,40,55,45,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",PG,1h 31m,2017,"['Demi Lovato', 'Rainn Wilson', 'Joe Manganiello', 'Jack McBrayer', 'Danny Pudi']",['Kelly Asbury'],67544505,20670651,88215156,35000000
Victor Crowley,67,60,64,['Horror'],,1h 23m,2017,"['Parry Shen', 'Kane Hodder', 'Laura Ortiz', 'Dave Sheridan', 'Krystal Joy Brown']",['Adam Green'],5743,0,5743,0
A Bad Idea Gone Wrong,80,68,76,['Comedy'],,1h 25m,2017,"['Matt L. Jones', 'Will Rogers', 'Eleanore Pienta', 'Jonny Mars', 'Sam Eidson']",['Jason Headley'],0,0,0,0
Dina,97,82,91,['Documentary'],,1h 41m,2017,"['Dina Buno', 'Scott Levin', 'Frank Costanzo', 'Jeannie Levin', 'Jenny Osborne']","['Antonio Santini', 'Dan Sickles']",519305,0,519305,0
