Name,2PRACE,Hispanic,API,Black,AIAN,White
Ashton Kutcher,6.405040251198778e-05,0.0031286680776795,0.0003772832447365,0.0024836705374756,0.0005129677971605,0.9934333599404356
Steve Zahn,0.0003188043460832,0.0018547492514173,0.0026330696609303,0.0006264920807937,0.0011045502710623,0.993462334389713
Wesley Kimmel,0.0003009165175534,0.0010903801213795,0.0013587904194981,0.0015327618569706,0.0006903065078491,0.9950268445767492
Rachel Bloom,0.0003367239343404,0.0034159828643455,0.0017737060915689,0.0043279856957983,0.0005651377885903,0.9895804636253565
Luke Corcoran,0.0002509194026566,0.0020425849845209,0.0012599221982495,0.0006178790814105,0.0009367723653487,0.9948919219678136
Cristina Ryan,0.000617848050595,0.0222998282659689,0.0061375793536634,0.0029351572996872,0.0009125674645099,0.9670970195655754
Aidan O Sullivan,0.0003055014489944,0.0026022566513283,0.0014982373868183,0.0126853257603353,0.0009130676836741,0.9819956110688496
Tadhg Devery,0.0001789919614861,0.003101709002448,0.0018793870139426,0.0024335975890585,0.0001425234611211,0.9922637909719434
Marybeth Herron,0.0004642367331978,0.0027094176749808,0.0009883233013177,0.0451320306094503,0.0009550904965682,0.949750901184485
Krew Boylan,0.0004063541204605,0.0032557678347873,0.0053105454762534,0.0089471845078002,0.0026245543740236,0.9794555936866748
Rose Byrne,0.0004004623942084,0.0082480599638713,0.0036606476507433,0.000968242853442,0.0005384322398601,0.9861841548978748
Bobby Cannavale,1.2864980333271528e-05,0.0022200057058541,0.0003926815879925,0.0010028944332638,4.716207962224904e-05,0.9963243912129338
Daniel Webber,0.0004701757108,0.0111361054034227,0.0030757892456666,0.0280173142957238,0.0013061207401298,0.9559944946042568
Celeste Barber,0.0005887274788753,0.0136186242977867,0.00270753113702,0.0551132414498552,0.0027005107202428,0.9252713649162198
Sam Worthington,0.0006573580703225,0.0029921480835096,0.0040512512750996,0.0175381880904781,0.0015854724879316,0.9731755819926584
Phoebe Tonkin,0.0008760594937744,0.0052229925184537,0.0133129425335496,0.000450175427447,0.0003616779932187,0.9797761520335564
Matt Nable,0.0009614654155799,0.0049546258150319,0.0596961836260205,0.0305920463343043,0.0004115097000298,0.9033841691090334
Susie Porter,0.0005665004207844,0.0066698934460386,0.0027488012915971,0.0728366199597383,0.0021434293556797,0.9150347555261614
Edward Carmody,0.0003372776248508,0.006080826719058,0.0023618866699,0.0010574680388862,0.0002256910017546,0.9899368499455502
Mark Manson,0.0006909759462755,0.0062667328090776,0.0021847666149888,0.0629873425385449,0.0037492723611397,0.9241209097299732
Nathan Price,0.0004653723868113,0.0025636134448403,0.0014606609946339,0.0525417532914741,0.001424072984431,0.9415445268978092
Tom Blackwell,0.0005973633837189,0.0011587522455532,0.0012341614527395,0.069833192810712,0.0015399062007145,0.9256366239065618
Matthew Metcalfe,0.0004463780940435,0.0033835367549713,0.001528111361225,0.016652889229147,0.0012338039682945,0.9767552805923184
Don Mancini,0.0002315507728051,0.0019401120073545,0.0011368917031713,0.0005993759403563,0.0002389381880349,0.9958531313882776
Brad Dourif,0.0004452262237964,0.0077326172305221,0.0044991976518622,0.0342840812838475,0.0015581040603805,0.951480773549591
Jennifer Tilly,0.0003137853544395,0.0041038353830925,0.0021449907362026,0.0208469055697771,0.0031713648557728,0.9694191181007152
Tony Gardner,0.0006101228856668,0.0069229053468261,0.0047501658479759,0.0575089297388515,0.0017893045651502,0.9284185716155292
David Kirschner,0.0002892505996594,0.0045256907706599,0.0007913704857263,0.0005266050793664,0.0008431690427339,0.993023914021854
Kodi Smit-McPhee,0.0005084106791556,0.0126172935262283,0.0103764729247656,0.0410631176277499,0.0022231186167868,0.9332115866253134
Isabelle Fuhrman,0.0002364844847808,0.0042635256103409,0.002635417948728,0.0002815024148591,0.0006986768858428,0.991884392655448
Virginia Madsen,0.0002993076199116,0.0065731233786134,0.0020998631548409,0.0009818394748427,0.0009544663936666,0.9890913999781248
Danny DeVito,0.0003588254858899,0.0077090412883475,0.0018074464506118,0.0003593024882234,0.0002352750894077,0.9895301091975196
Evan Ross,0.0005428018850172,0.0028834410643543,0.0019838909803005,0.0630930237621668,0.0019179509679054,0.9295788913402556
Robert Pattinson,0.0001608295349243,0.0033598444844743,0.0013579074538346,0.0035141601772593,0.0011070212609308,0.9905002370885766
Mia Wasikowska,0.0006450708344534,0.0592157559311418,0.1065423492696718,0.0382579911574866,0.0017681102415741,0.7935707225656718
David Zellner,0.0004090891669065,0.0028857779753843,0.0014561777044158,0.0346922287622356,0.0006889829285223,0.9598677434625352
Nathan Zellner,0.0003748538518776,0.0017373748472235,0.0011249198217887,0.0331646338633156,0.000706996933248,0.9628912206825462
Robert Forster,0.0002556906873473,0.0023637717584718,0.0012630126651384,0.009937337322633,0.0007347836444603,0.985445403921949
Alexander Molony,0.0004402758041944,0.0011291434058659,0.0037633404734484,0.0014441664193178,0.0022023722782542,0.9910207016189192
Ever Anderson,0.0008927232175586,0.0423514829743525,0.0060709835674521,0.0663932978025158,0.0027519382986367,0.881539574139484
Jude Law,0.001085296196968,0.0055763887388599,0.1525590588952187,0.0888436966314844,0.0010470998791851,0.7508884596582838
Alyssa Wapanatâhk,0.000539489276084,0.0725804569103913,0.0171389820975851,0.0303392270968118,0.0018075502243696,0.8775942943947579
Jim Gaffigan,0.0005504450523174,0.0004953266731998,0.0004158460565312,0.0015052754951657,0.0001943912079626,0.9968387155148232
Morten Harket,0.0001149969840072,0.0026244220780377,0.0022263340067381,0.0019758557287502,0.0003517694338415,0.992706621768625
Magne Furuholmen,0.000179610026038,0.0079389078020981,0.0056120567710645,0.0058798153010977,0.0002945637593093,0.980095046340392
Pål Waaktaar,0.0001081135118518,0.0016008450004166,0.0009609683314537,0.0009934413327105,0.0002957199485925,0.9960409118749748
Thomas Robsahm,0.0001475596253509,0.0049784421382887,0.0043091766924014,0.0103891431414451,0.000487817176303,0.9796878612262108
Aslaug Holm,1.1265682263802843e-05,8.651575238526384e-05,0.000109879837151,3.741367388805267e-05,2.1807258169697656e-05,0.9997331177961422
Teagan Croft,0.0003162441938975,0.0014822232747261,0.0007017045979907,0.0183930453400795,0.0008108234015847,0.9782959591917214
Cliff Curtis,0.0004757159817579,0.0014975298416779,0.0014816843371969,0.0461950800617665,0.0025015854809098,0.9478484042966908
Anna Paquin,0.0005747635302324,0.0040436407269413,0.004469352873373,0.0007873332135161,0.0107326267402402,0.9793922829156966
Josh Lawson,0.0004605725743588,0.0024209991315019,0.0006801546964611,0.0518497700760652,0.0012803240637121,0.9433081794579008
Todd Lasance,0.0001269051181438,0.0024624328902369,0.0013357122274703,0.0093442862124008,0.0004382824266746,0.9862923811250734
Thomas Haden Church,0.0003545406019483,0.0014272557665821,0.0011913618355991,0.0119279826705128,0.0012656344197852,0.9838332247055722
Dianna Agron,0.0006906015881585,0.3177032918601679,0.019370322636224,0.0097750358432747,0.0001520813970868,0.6523086666750878
Sameerah Luqmaan-Harris,0.0017985748764717,0.0101006182183498,0.039140456302539,0.1089440365484986,0.0023329751342463,0.8376833389198943
Alex Lehmann,0.0004199078989568,0.0124284222770797,0.0032445153605896,0.0017126121587546,0.0006710037737589,0.9815235385308602
Chris Dowling,0.0002861232011937,0.0032851324105306,0.0011264510027056,0.0158773392569205,0.0007650405900467,0.9786599135386026
Julianne Moore,0.0005815614955303,0.0049477064697661,0.0023846585716143,0.0663053479356748,0.0014441299634504,0.924336595563964
Sebastian Stan,0.0014058539919749,0.0308869922841494,0.011439906448301,0.0064291174056054,0.001457211539409,0.94838091833056
Justice Jesse Smith,0.0007538250806558,0.0031716215432158,0.001555146828172,0.1493488188327647,0.0025304050351654,0.8426401826800262
Briana Middleton,0.000575377183915,0.0079766055378841,0.0008161180031297,0.1182623902217593,0.0012489045832138,0.8711206044700978
John Lithgow,0.0004765414114493,0.0330734034812425,0.0008920411101236,0.0008971896284407,9.802097793951732e-05,0.9645628033908042
Rachael Leigh Cook,0.0004036956317005,0.0022360277994923,0.0008489971160366,0.0314620688107037,0.0016848488825119,0.9633643617595546
Scott Ly,0.0041730005467882,0.0025299748144102,0.8856591042880226,0.0116425013941567,0.0003553791342515,0.0956400398223704
Missi Pyle,0.0003057027046499,0.0011730715703554,0.000534899752135,0.0036787505100816,0.0013769756024909,0.992930599860287
