Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %
2022,121,Wunderschön,"$16,719,291",-,-,"$16,719,291",100%
2022,122,Even If This Love Disappears from the World Tonight,"$16,474,515",-,-,"$16,474,515",100%
2022,123,Father There Is Only One 3,"$16,401,315",-,-,"$16,401,315",100%
2022,124,Dr. Coto's Clinic,"$16,062,841",-,-,"$16,062,841",100%
2022,125,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%
2022,126,Blacklight,"$15,902,207","$9,591,094",60.3%,"$6,311,113",39.7%
2022,127,Operation Mincemeat,"$15,710,164",-,-,"$15,710,164",100%
2022,128,Maison de retraite,"$15,570,823",-,-,"$15,570,823",100%
2022,129,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$15,569,229",-,-,"$15,569,229",100%
2022,130,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
2022,131,Bones and All,"$15,134,907","$7,834,907",51.8%,"$7,300,000",48.2%
2022,132,Terrifier 2,"$15,065,239","$10,640,105",70.6%,"$4,425,134",29.4%
2022,133,Firestarter,"$15,039,250","$9,739,250",64.8%,"$5,300,000",35.2%
2022,134,The Wolf of Wall Street 2022 Re-release,"$14,877,539",-,-,"$14,877,539",100%
2022,135,Bros,"$14,781,867","$11,628,165",78.7%,"$3,153,702",21.3%
2022,136,Superwho?,"$14,770,359",-,-,"$14,770,359",100%
2022,137,X,"$14,740,889","$11,765,309",79.8%,"$2,975,580",20.2%
2022,138,The Chosen Season 3: Episode 1 & 2,"$14,679,613","$14,612,089",99.5%,"$67,524",0.5%
2022,139,The Duke,"$14,227,217","$1,526,970",10.7%,"$12,700,247",89.3%
2022,140,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
2022,141,She Said,"$13,935,435","$5,825,995",41.8%,"$8,109,440",58.2%
2022,142,Bodies Bodies Bodies,"$13,929,670","$11,446,602",82.2%,"$2,483,068",17.8%
2022,143,Monster,"$13,910,991",-,-,"$13,910,991",100%
2022,144,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%
2022,145,The Legend of Maula Jatt,"$13,842,815","$5,016,493",36.2%,"$8,826,322",63.8%
2022,146,Glass Onion,"$13,280,000","$13,280,000",100%,-,-
2022,147,Valimai,"$13,276,393",-,-,"$13,276,393",100%
2022,148,Moonage Daydream,"$13,095,781","$4,218,925",32.2%,"$8,876,856",67.8%
2022,149,Easter Sunday,"$13,074,255","$13,013,690",99.5%,"$60,565",0.5%
2022,150,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
2022,151,Living,"$12,208,598","$3,038,113",24.9%,"$9,170,485",75.1%
2022,152,Laal Singh Chaddha,"$12,093,536","$3,401,324",28.1%,"$8,692,212",71.9%
2022,153,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%
2022,154,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$11,631,738","$1,588,491",13.7%,"$10,043,247",86.3%
2022,155,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
2022,156,Empire of Light,"$11,395,604","$1,177,577",10.3%,"$10,218,027",89.7%
