,name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
19,Chupa,68,58,64,"['Kids & Family', 'Adventure', 'Fantasy']",PG,1h 35m,2023,"['Demián Bichir', 'Evan Whitten', 'Christian Slater', 'Ashley Ciarra', 'Nickolas Verdugo']",['Jonas Cuaron']
20,All the Beauty and the Bloodshed,95,62,84,"['Documentary', 'Biography']",,1h 57m,2022,"['Nan Goldin', 'Laura Poitras', 'Laura Poitras', 'Nan Goldin', 'Howard Gertler']",['Laura Poitras']
21,Kids vs. Aliens,58,42,52,"['Holiday', 'Horror', 'Sci-Fi']",,1h 15m,2022,"['Dominic Mariche', 'Phoebe Rex', 'Calem MacDonald', 'Asher Grayson', 'Ben Tector']",['Jason Eisener']
22,Colonia,29,61,39,"['Mystery & Thriller', 'History', 'Drama', 'Romance']",R,1h 50m,2015,"['Emma Watson', 'Daniel Brühl', 'Michael Nyqvist', 'Richenda Carey', 'Vicky Krieps']",['Florian Gallenberger']
23,The Last Deal,100,76,91,"['Action', 'Crime', 'Drama', 'Mystery & Thriller']",R,1h 31m,2023,"['Anthony Molinari', 'Sala Baker', 'Gigi Gustin', 'Mike Ferguson', 'Clark Moore']",['1197949 Jonathan Salemi']
24,Righteous Thieves,0,43,14,"['Mystery & Thriller', 'Crime']",R,1h 31m,2023,"['Cam Gigandet', 'Jaina Lee Ortiz', 'Lisa Vidal', 'Carlos Miranda', 'Brian Cousins']",['Anthony Nardolillo']
25,Lift,100,94,97,['Documentary'],PG-13,1h 27m,2022,"['Victor Abreu', 'Steven Melendez', 'David Petersen', 'Mary Recine', 'David Petersen']",['David Petersen']
26,The Year Between,76,83,78,"['Drama', 'Comedy']",,1h 34m,2022,"['Steve Buscemi', 'Alex Heller', 'J. Smith-Cameron', 'Wyatt Oleff', 'Kyanna Simone Simpson']",['Alex Heller']
27,M3GAN,93,78,88,"['Horror', 'Mystery & Thriller', 'Sci-Fi']",PG-13,1h 42m,2022,"['Allison Williams', 'Violet McGraw', 'Ronny Chieng', 'Brian Jordan Alvarez', 'Jen Van Epps']",['Gerard Johnstone']
28,Stand!,57,71,61,"['History', 'Drama']",,1h 50m,2019,"['Laura Wiggins', 'Gregg Henry', 'Marshall Williams', 'Hayley Sales', 'Paul Essiembre']",['Robert Adetuyi']
29,iMordecai,50,87,62,"['Comedy', 'Drama']",,1h 42m,2022,"['Judd Hirsch', 'Carol Kane', 'Sean Astin', 'Stephanie J. Block', 'Azia Dinea Hale']",['Marvin Samel']
30,Blood,58,50,55,"['Horror', 'Mystery & Thriller']",,1h 48m,2022,"['Michelle Monaghan', 'Skeet Ulrich', 'Finlay Wojtak-Hissong', 'June B. Wilde', 'Skylar Morgan Jones']",['Brad Anderson']
31,She Said,87,91,88,['Drama'],R,2h 9m,2022,"['Carey Mulligan', 'Zoe Kazan', 'Patricia Clarkson', 'Andre Braugher', 'Jennifer Ehle']",['Maria Schrader']
32,Shotgun Wedding,45,51,47,"['Action', 'Romance', 'Comedy']",R,1h 40m,2023,"['Jennifer Lopez', 'Josh Duhamel', 'Jennifer Coolidge', 'Sonia Braga', 'Cheech Marin']",['Jason Moore']
