,name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
33,Clock,79,73,77,"['Horror', 'Mystery & Thriller']",,1h 32m,2023,"['Dianna Agron', 'Melora Hardin', 'Jay Ali', 'Saul Rubinek', 'Grace Porter']",['Alexis Jacknow']
34,Ambush,25,49,33,"['War', 'Action']",R,1h 44m,2023,"['Jonathan Rhys-Meyers', 'Connor Paolo', 'Aaron Eckhart', 'Jason Genao', 'Mac Brandt']",['Mark Earl Burman']
35,The Drop,51,20,40,['Comedy'],,1h 32m,2022,"['Anna Konkle', 'Jermaine Fowler', 'Utkarsh Ambudkar', 'Jillian Bell', 'Gene Farber']",['Sarah Adina Smith']
36,Sound of Silence,67,44,59,"['Horror', 'Mystery & Thriller']",,1h 33m,2023,"['Lucia Caporaso', 'Daniele De Martino', 'Rocco Marazzita', 'Chiara Casolari', 'Claudio Dughera']","['Alessandro Antonaci', 'Daniel Lascar', 'Stefano Mandala']"
37,Loudmouth,67,100,78,"['Documentary', 'Biography']",,2h 3m,2022,"['Al Sharpton', 'Barack Obama', 'James Brown', 'Jesse Jackson', 'Chuck Schumer']",['Josh Alexander']
38,Cherry,92,89,91,"['Comedy', 'Drama']",,1h 16m,2022,"['Alex Trewhitt', 'Hannah Alline', 'Angela Nicholas', 'Joe Sachem', 'Dan Schultz']",['Sophie Galibert']
39,Millennium Bugs,83,100,88,['Comedy'],,1h 30m,2020,"['Katy Erin', 'Michael Lovato', 'Micah McNeil', 'Rogelio Ramos', 'Melyssa Zurasky']",['Alejandro Montoya Marin']
40,"Murder, Anyone?",100,69,89,['Comedy'],,1h 21m,2022,"['Kristos Andrews', 'Galadriel Stineman', 'Maurice LaMarche', 'Charles M. Howell IV', 'Carla Collins']",['James Cullen Bressack']
41,Children of the Corn,12,38,20,['Horror'],R,1h 32m,2020,"['Elena Kampouris', 'Kate Moyer', 'Callan Mulvey', 'Bruce Spence', 'Sebastian Alanis Alvarez']",['Kurt Wimmer']
42,Space Oddity,56,65,58,"['Romance', 'Comedy', 'Sci-Fi', 'Drama']",PG-13,1h 32m,2022,"['Kyle Allen', 'Alexandra Shipp', 'Madeline Brewer', 'Kevin Bacon', 'Simon Helberg']",['Kyra Sedgwick']
43,House Party,28,60,38,['Comedy'],R,1h 40m,2023,"['Jacob Latimore', 'Tosin Cole', 'DC Young Fly', 'Karen Obilom', 'Melvin Gregg']",['Calmatic']
44,Palm Trees and Power Lines,90,80,86,['Drama'],R,1h 50m,2022,"['Lily McInerny', 'Jonathan Tucker', 'Gretchen Mol', 'Jamie Dack', 'Jamie Dack']",['Jamie Dack']
45,Murder Mystery 2,45,46,45,"['Comedy', 'Mystery & Thriller', 'Action', 'Crime']",PG-13,1h 30m,2023,"['Adam Sandler', 'Jennifer Aniston', 'Mark Strong', 'Adeel Akhtar', 'Tony Goldwyn']",['Jeremy Garelick']
46,Summoning Sylvia,100,89,96,"['Comedy', 'Horror', 'LGBTQ+']",R,1h 14m,2023,"['Travis Coles', 'Michael Urie', 'Frankie Grande', 'Nicholas Logan', 'Troy Iwata']","['Wesley Taylor', 'Alex Wyse']"
47,The Whale,64,91,73,['Drama'],R,1h 57m,2022,"['Brendan Fraser', 'Sadie Sink', 'Hong Chau', 'Ty Simpkins', 'Samantha Morton']",['Darren Aronofsky']
48,Back to the Drive-In,93,73,86,['Documentary'],,1h 45m,2022,"['April Wright', 'April Wright', 'April Wright', 'Ryan Bury', 'James Andrew Felts']",['April Wright']
49,Avatar: The Way of Water,76,92,81,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy']",PG-13,3h 12m,2022,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang', 'Cliff Curtis']",['James Cameron']
50,Quasi,41,63,48,['Comedy'],R,Comedy,2023,"['Adrianne Palicki', 'Jay Chandrasekhar', 'Gabriel Hogan', 'Kevin Heffernan', 'Steve Lemme']",['Kevin Heffernan']
51,Baby Ruby,66,33,55,['Drama'],,1h 33m,2022,"['Noémie Merlant', 'Kit Harington', 'Meredith Hagner', 'Jayne Atkinson', 'Bess Wohl']",['Bess Wohl']
52,Leo,100,74,91,"['Action', 'Mystery & Thriller']",,2h 44m,2023,"['Joseph Vijay', 'Trisha', 'Sanjay Dutt', 'Arjun', 'Gautham Vasudev Menon']",['Lokesh Kanagaraj']
53,Teen Wolf: The Movie,32,67,43,"['Fantasy', 'Action', 'Comedy', 'Drama']",,1h 17m,2023,"['Tyler Posey', 'Tyler Hoechlin', 'Orny Adams', 'Linden Ashby', 'JR Bourne']",['Russell Mulcahy']
54,A Lot of Nothing,48,41,45,"['Comedy', 'Drama', 'Mystery & Thriller']",,1h 44m,2022,"[""Y'lan Noel"", 'Cleopatra Coleman', 'Lex Scott Davis', 'Shamier Anderson', 'Justin Hartley']",['Mo Mcrae']
55,Devotion,81,92,84,"['War', 'History', 'Drama', 'Action']",PG-13,2h 19m,2022,"['Glen Powell', 'Jonathan Majors', 'Joe Jonas', 'Christina Jackson', 'Nick Hargrove']",['Justin Dillard']
56,Human Resources,97,81,91,['Drama'],,1h 43m,1999,"['Jalil Lespert', 'Jean-Claude Vallod', 'Chantal Barré', 'Véronique de Pandelaère', 'Michel Begnez']",['Laurent Cantet']
57,The Seven Faces of Jane,35,82,50,['Drama'],,1h 32m,2022,"['Gillian Jacobs', 'Joel McHale', 'Sybil Azur', 'David Balcorta', 'Graeme Buffenbarger']","['Julian Acosta', 'Xan Cassavetes', 'Gia Coppola', 'Ryan Heffington', 'Boma Iluma']"
58,A Man Called Otto,70,97,79,"['Comedy', 'Drama']",PG-13,2h 6m,2022,"['Tom Hanks', 'Mack Bayda', 'Mariana Treviño', 'Rachel Keller', 'Manuel Garcia-Rulfo']",['Marc Forster']
59,Wolf Garden,50,60,53,"['Horror', 'Mystery & Thriller']",,1h 29m,2023,"['Wayne David', 'Sian Altman', 'Grant Masters', 'Jake Wood', 'Wayne David']",['Wayne David 2']
60,At Midnight,42,85,56,"['Romance', 'Comedy']",R,1h 40m,2023,"['Diego Boneta', 'Monica Barbaro', 'Anders Holm', 'Casey Thomas Brown', 'Catherine Cohen']",['Jonah Feingold']
