40,The Canyonlands,17,20,18,"['Horror', 'Mystery & Thriller']",,1h 39m,2021,"['Steph Barkley', 'Marqus Bobesich', 'Wayne Charles Baker', 'Dennis Connors', 'Sheldon Brown']",['Brendan Devane']
41,Kid 90,76,72,74,['Documentary'],,1h 11m,2021,"['Soleil Moon Frye', 'David Arquette', 'Stephen Dorff', 'Balthazar Getty', 'Mark-Paul Gosselaar']",['Soleil Moon Frye']
42,Ted Bundy: American Boogeyman,0,19,6,"['Crime', 'Drama']",,1h 50m,2021,"['Chad Michael Murray', 'Holland Roden', 'Greer Grammer', 'Jake Hays', 'Lin Shaye']",['Daniel Farrands 2']
43,Everybody's Talking About Jamie,82,68,77,"['Musical', 'Drama', 'LGBTQ+']",PG-13,2h 1m,2021,"['Max Harwood', 'Sarah Lancashire', 'Lauren Patel', 'Shobna Gulati', 'Ralph Ineson']",['Jonathan Butterell']
44,Santa's Slay,40,44,41,"['Holiday', 'Comedy', 'Horror']",R,1h 18m,2005,"['Bill Goldberg', 'Douglas Smith', 'Emilie de Ravin', 'Robert Culp', 'Saul Rubinek']",['David Steiman']
45,The Comic,67,57,63,"['Comedy', 'Drama']",PG,1h 34m,1969,"['Dick Van Dyke', 'Michele Lee', 'Mickey Rooney', 'Cornel Wilde', 'Nina Wayne']",['Carl Reiner']
46,The Vault,58,52,56,"['Mystery & Thriller', 'Action', 'Crime', 'Drama']",R,1h 58m,2021,"['Freddie Highmore', 'Astrid Berges-Firsbey', 'Sam Riley', 'Liam Cunningham', 'José Coronado']",['Jaume Balaguero']
47,The Addams Family 2,28,69,41,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 33m,2021,"['Oscar Isaac', 'Charlize Theron', 'Chloë Grace Moretz', 'Bill Hader', 'Nick Kroll']","['Greg Tiernan', 'Conrad Vernon']"
48,Night at the Eagle Inn,83,32,66,"['Horror', 'Mystery & Thriller']",,1h 10m,2021,"['Amelia Dudley', 'Taylor Turner', 'Greg Schweers', 'Beau Minniear', 'Erik Bloomquist']",['Erik C Bloomquist']
49,The Gateway,51,40,47,"['Crime', 'Drama', 'Mystery & Thriller']",R,1h 31m,2021,"['Shea Whigham', 'Olivia Munn', 'Frank Grillo', 'Bruce Dern', 'Taryn Manning']",['Michele Civetta']
50,The Pretenders,20,33,24,[],,2018,2018,"['Jack Kilmer', 'Lonnie Moore', 'Jane Levy', 'Brian Cox', 'James Franco']",['James Franco']
51,Vicious Fun,88,67,81,"['Horror', 'Comedy']",,1h 41m,2020,"['Evan Marsh', 'Amber Goldfarb', 'Ari Millen', 'Julian Richings', 'Robert Maillet']",['Cody Calahan']
52,Black and White in Color,100,69,89,"['Comedy', 'Drama', 'War']",PG,1h 30m,1976,"['Jean Carmet', 'Catherine Rouvel', 'Jacques Dufilho', 'Jacques Spiesser', 'Maurice Barrier']",['Jeanjacques Annaud']
53,The Mimic,58,65,60,['Comedy'],,1h 21m,2020,"['Thomas Sadoski', 'Jake Robinson', 'Austin Pendleton', 'Gina Gershon', 'Marilu Henner']",['Thomas F Mazziotti']
54,A Week Away,56,90,67,"['Musical', 'Romance']",,1h 37m,2021,"['Kevin Quinn', 'Bailee Madison', 'Sherri Shepherd', 'David Koechner', 'Ed Amatrudo']",['Roman White']
55,Risen,53,70,58,"['History', 'Drama']",PG-13,1h 48m,2016,"['Joseph Fiennes', 'Tom Felton', 'Peter Firth', 'Cliff Curtis', 'María Botto']",['Kevin Reynolds']
56,City of Lies,51,84,62,"['Crime', 'Drama', 'Mystery & Thriller']",R,1h 54m,2018,"['Johnny Depp', 'Forest Whitaker', 'Rockmond Dunbar', 'Neil Brown Jr.', 'Xander Berkeley']",['Brad Furman']
57,Just Another Love Story,74,83,77,"['Drama', 'Mystery & Thriller']",,1h 40m,2007,"['Anders W. Berthelsen', 'Rebecka Hemse', 'Nikolaj Lie Kaas', 'Charlotte Fich', 'Dejan Cukic']",['Ole Bornedal']
58,Ghost Team One,36,67,46,"['Comedy', 'Horror']",R,1h 23m,2013,"['Carlos Santos', 'J.R. Villarreal', 'Fernanda Romero', 'Tony Cavalero', 'Meghan Falcone']","['Ben Peyser', 'Scott Rutherford']"
59,13 Minutes,27,64,39,"['Mystery & Thriller', 'Drama', 'Action']",PG-13,1h 48m,2021,"['Amy Smart', 'Thora Birch', 'Peter Facinelli', 'Trace Adkins', 'Paz Vega']",['Lindsay Gossling']
60,Black Holes: The Edge of All We Know,100,82,93,['Documentary'],,1h 39m,2020,"['Peter Galison', 'Peter Galison', 'Greg Boustead', 'Jessica Harrop', 'Tim Cragg']",['Peter Galison']
61,Capernaum,90,93,91,['Drama'],R,2h 10m,2018,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole', 'Kawthar Al Haddad', 'Fadi Yousef']",['Nadine Labaki']
62,Shang-Chi and the Legend of the Ten Rings,92,98,94,"['Action', 'Adventure', 'Fantasy']",PG-13,2h 13m,2021,"['Simu Liu', 'Awkwafina', ""Meng'er Zhang"", 'Fala Chen', 'Florian Munteanu']",['Destin Daniel Cretton']
63,Profile,61,75,65,"['Mystery & Thriller', 'Drama']",R,1h 45m,2018,"['Valene Kane', 'Shazad Latif', 'Christine Adams', 'Emma Cater', 'Amir Rahimzadeh']",['Timur Bekmambetov']
64,Rage,71,70,70,['Mystery & Thriller'],,2h 23m,2021,"['Matt Theo', 'Richard Norton', 'Hayley Beveridge', 'Tottie Goldsmith', 'Jasper Bagg']",['John Balazs']
65,Hall,80,8,55,"['Horror', 'Mystery & Thriller']",,1h 20m,2020,"['Julian Richings', 'Carolina Bartczak', 'Vlasta Vrana', 'Mark Gibson', 'Yumiko Shaku']",['Francesco Giannini 2']
66,Aileen Wuornos: American Boogeywoman,20,10,16,"['Crime', 'Drama']",,1h 40m,2021,"['Peyton List', 'Tobin Bell', 'Lydia Hearst', 'Nick Vallelonga', 'Swen Temmel']",['Daniel Farrands 2']
67,Quezon's Game,45,94,61,"['Drama', 'History']",,2h 7m,2018,"['Raymond Bagatsing', 'Rachel Alejandro', 'Kate Alejandrino', 'Billy Ray Gallion', 'David Bianco']",['Matthew E Rosen']
68,Black as Night,70,31,57,['Horror'],,1h 27m,2021,"['Asjha Cooper', 'Fabrizio Guido', 'Mason Beauchamp', 'Abbie Gayle', 'Craig Tate']",['Maritte Lee Go']
69,Prisoners of the Ghostland,61,53,58,"['Action', 'Adventure']",,1h 40m,2021,"['Nicolas Cage', 'Sofia Boutella', 'Nick Cassavetes', 'Bill Moseley', 'Tak Sakaguchi']",['Sion Sono']
70,The Pajama Game,87,63,79,"['Musical', 'Romance']",,1h 41m,1957,"['Doris Day', 'John Raitt', 'Carol Haney', 'Eddie Foy Jr.', 'Buzz Miller']","['George Abbott', 'Stanley Donen']"
71,Together,73,89,78,['Drama'],PG,1h 58m,2002,"['Tang Yun', 'Liu Peiqi', 'Chen Hong', 'Wang Zhi Wen', 'Chen Kaige']",['771692266']
72,Minyan,93,58,81,"['Drama', 'LGBTQ+']",,1h 58m,2020,"['Samuel H. Levine', 'Ron Rifkin', 'Christopher McCann', 'Alex Hurt', 'Riley Barnes']",['Eric Steel']
