42,Armageddon Time,75,48,66,['Drama'],R,1h 54m,2022,"['Anne Hathaway', 'Jeremy Strong', 'Michael Banks Repeta', 'Jaylin Webb', 'Tovah Feldshuh']",['James Gray']
43,Soft & Quiet,85,43,71,"['Horror', 'Mystery & Thriller', 'Drama']",,1h 32m,2022,"['Stefanie Estes', 'Olivia Luccardi', 'Eleanore Pienta', 'Dana Millican', 'Melissa Paulo']",['Beth De Araujo 2']
44,Thieves' Highway,100,79,92,"['Crime', 'Drama']",,1h 34m,1949,"['Richard Conte', 'Valentina Cortese', 'Lee J. Cobb', 'Barbara Lawrence', 'Jack Oakie']",['Jules Dassin']
45,Dual,71,62,68,"['Sci-Fi', 'Comedy', 'Mystery & Thriller']",R,1h 34m,2022,"['Karen Gillan', 'Aaron Paul', 'Beulah Koale', 'Theo James', 'Elina Jackson']",['Riley Stearns']
46,Chip 'n' Dale: Rescue Rangers,80,79,79,"['Kids & Family', 'Comedy', 'Adventure']",PG,1h 36m,2022,"['John Mulaney', 'Andy Samberg', 'Corey Burton', 'Anthony Molinari', 'Juliet Donenfeld']",['Akiva Schaffer']
47,Barbarian,93,71,85,"['Horror', 'Mystery & Thriller']",R,1h 42m,2022,"['Georgina Campbell', 'Bill Skarsgård', 'Justin Long', 'Matthew Patrick Davis', 'Kurt Braunohler']",['Zach Cregger']
48,Hockeyland,85,93,87,['Documentary'],,1h 49m,2021,"['Blake Biondi', 'Tommy Haines', 'J.T. Haines', 'Tommy Haines', 'Andrew Sherburne']",['Tommy Haines']
49,American Underdog,76,98,83,"['Biography', 'Drama']",PG,1h 52m,2021,"['Zachary Levi', 'Anna Paquin', 'Dennis Quaid', ""Ser'Darius Blain"", 'Hayden Zaller']","['Andrew Erwin Ii', 'Jon Erwin']"
50,Jackass Forever,86,91,87,['Comedy'],R,1h 36m,2022,"['Johnny Knoxville', 'Steve-O', 'Chris Pontius', 'Dave England', 'Jason ""Wee Man"" Acuña']",['Jeff Tremaine']
51,Jackass 4.5,67,49,61,['Comedy'],TVMA,1h 30m,2022,"['Johnny Knoxville', 'Steve-O', 'Chris Pontius', 'Dave England', 'Jason ""Wee Man"" Acuña']",['Jeff Tremaine']
52,High School Musical 3: Senior Year,64,72,66,"['Kids & Family', 'Musical', 'Comedy']",G,1h 52m,2008,"['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale', 'Lucas Grabeel', 'Corbin Bleu']",['Kenny Ortega']
53,Faye,86,43,71,['Horror'],,1h 23m,2022,"['Sarah Zanotti', 'Kd Amond', 'Kd Amond', 'Sarah Zanotti', 'Kd Amond']",['Kd Amond']
54,Fire Island,94,66,84,"['Romance', 'Comedy']",R,1h 45m,2022,"['Joel Kim Booster', 'Bowen Yang', 'Margaret Cho', 'Conrad Ricamora', 'James Scully']",['Andrew Ahn']
55,Jurassic Park,91,91,91,"['Adventure', 'Action', 'Sci-Fi', 'Mystery & Thriller']",PG-13,2h 6m,1993,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough', 'Bob Peck']",['Steve Spielberg']
56,The Adam Project,68,73,69,"['Sci-Fi', 'Adventure', 'Action', 'Comedy']",PG-13,1h 46m,2022,"['Ryan Reynolds', 'Mark Ruffalo', 'Jennifer Garner', 'Walker Scobell', 'Zoe Saldana']",['1048166 Shawn Levy']
57,McEnroe,92,79,87,"['Documentary', 'Sports & Fitness']",,1h 44m,2022,"['Billie Jean King', 'John McEnroe', 'Björn Borg', 'Barney Douglas', 'Barney Douglas']",['Barney Douglas']
58,Red Rocket,90,75,85,"['Comedy', 'Drama']",R,2h 8m,2021,"['Simon Rex', 'Suzanna Son', 'Bree Elrod', 'Brenda Deiss', 'Ethan Darbone']",['Sean Baker 2']
59,The Alternate,75,53,67,"['Mystery & Thriller', 'Sci-Fi']",,1h 27m,2021,"['Ed Gonzalez Moreno', 'Natalia Dominguez', 'Johnny Gilligan', 'Jrue Blickman', 'Phillip Caires']",['Alrik Bursell']
60,Burial,61,49,57,"['Horror', 'Mystery & Thriller']",,1h 35m,2022,"['Charlotte Vega', 'Tom Felton', 'Harriet Walter', 'Barry Ward', 'Kristjan Üksküla']",['Ben Parker 2']
61,Tethered,29,83,47,"['Horror', 'Mystery & Thriller', 'Drama']",,1h 28m,2022,"['Kareem Ferguson', 'Alexandra Paul', 'Jared Laufree', 'Brody Bett', 'Chris Demm']",['Daniel Robinette']
62,Prey for the Devil,17,69,34,"['Horror', 'Mystery & Thriller']",PG-13,1h 33m,2022,"['Jacqueline Byers', 'Colin Salmon', 'Christian Navarro', 'Lisa Palfrey', 'Nicholas Ralph']",['Daniel Stamm']
63,Brut Force,100,95,98,['Mystery & Thriller'],,1h 33m,2022,"['Lelia Symington', 'Tyler Posey', 'Patricia Velasquez', 'Sidney Symington', 'Vico Escorcia']",['Eve Symington']
