56,Body Brokers,61,66,62,"['Crime', 'Drama', 'Mystery & Thriller']",R,1h 53m,2021,"['Jack Kilmer', 'Frank Grillo', 'Melissa Leo', 'Michael Kenneth Williams', 'Jessica Rothe']",['John Swab']
57,PAW Patrol: The Movie,80,97,85,"['Kids & Family', 'Comedy', 'Adventure', 'Action', 'Animation']",G,1h 25m,2021,"['Iain Armitage', 'Marsai Martin', 'Ron Pardo', 'Yara Shahidi', 'Kim Kardashian West']",['Cal Brunker']
58,Red Snow,75,88,79,"['Holiday', 'Horror', 'Comedy', 'Mystery & Thriller']",,1h 20m,2021,"['Dennice Cisneros', 'Nico Bellamy', 'Laura Kennon', 'Vernon Wells', 'Alan Lee Silva']",['Sean Nichols Lynch']
59,Our Towns,88,55,77,['Documentary'],,1h 37m,2021,"['Deborah Fallows', 'James Fallows', 'Steven Ascher', 'Jeanne Jordan', 'Steven Ascher']","['Steven Ascher', 'Jeanne Jordan']"
60,Street Gang: How We Got to Sesame Street,95,96,95,['Documentary'],PG,1h 47m,2021,"['Joan Ganz Cooney', 'Fran Brill', 'Christopher Cerf', 'Emilio Delgado', 'Jim Henson']",['Marilyn Agrelo']
61,The Outside Story,88,80,85,['Drama'],,1h 25m,2020,"['Brian Tyree Henry', 'Sonequa Martin-Green', 'Sunita Mani', 'Olivia Edward', 'Asia Kate Dillon']",['Casimir Nozkowski']
62,Heal the Living,92,68,84,['Drama'],,1h 40m,2016,"['Tahar Rahim', 'Emmanuelle Seigner', 'Anne Dorval', 'Bouli Lanners', 'Kool Shen']",['Katell Quillevere']
63,8-Bit Christmas,84,75,81,"['Holiday', 'Comedy']",PG,1h 45m,2021,"['Neil Patrick Harris', 'Winslow Fegley', 'June Diane Raphael', 'Steve Zahn', 'Sophia Reid-Gantzert']",['Michael Dowse']
64,Outside the Wire,37,54,42,"['Action', 'Sci-Fi']",R,1h 55m,2021,"['Anthony Mackie', 'Damson Idris', 'Emily Beecham', 'Michael Kelly', 'Kristina Tonteri-Young']",['Mikael Hafstrom']
65,Bitchin': The Sound and Fury of Rick James,100,58,85,"['Documentary', 'Music']",,1h 51m,2021,"['Rick James', 'Sacha Jenkins', 'Sacha Jenkins', 'Steve Rivo', 'Jason Pollard']",['Sacha Jenkins']
66,Tazmanian Devil,0,100,33,['Drama'],,2h 0m,2020,"['Adepero Oduye', 'Ntare Mwine', 'Abraham Attah', 'Kwesi Boakye', 'Kenneisha Thompson']",['Solomon Onita Jr']
67,Collection,17,29,21,['Mystery & Thriller'],,1h 27m,2021,"['Alex Pettyfer', 'Shakira Barrera', 'Mike Vogel', 'Jacques Colimon', 'Breeda Wool']",['1191906 Marianna Palka']
68,Vengeance Is Mine,71,79,73,"['Action', 'Mystery & Thriller']",,1h 19m,2021,"[""Con O'Neill"", 'Sarah Jane Potts', 'Anton Saunders', 'Ricky Grover', 'Peter Pedrero']",['Hadi Hajaig']
